student_code,status,brand_code,code,curriculum_id,semester,campus_code,term_id,term_name
PF15001,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15001,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15001,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15005,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15005,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15005,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15013,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15013,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15013,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15019,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15019,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15019,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15028,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15028,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15028,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15029,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15029,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15029,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15030,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15030,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15030,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15035,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15035,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15035,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15050,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15050,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15050,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15051,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15051,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15051,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15055,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15055,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15055,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15064,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15064,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15064,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15064,THO,UD_JAVA,UD_JAVA,209,3,ph,44,Fall 2020
PF15069,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15069,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15069,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15069,THO,UD_JAVA,UD_JAVA,209,3,ph,44,Fall 2020
PF15070,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15070,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15070,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15070,THO,UD_JAVA,UD_JAVA,209,3,ph,44,Fall 2020
PF15093,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15093,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15093,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15093,THO,UD_JAVA,UD_JAVA,209,3,ph,44,Fall 2020
PF15098,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15098,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15098,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15102,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15102,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15102,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15142,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15142,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15142,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15149,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15149,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15149,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15158,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15158,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15158,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PF15158,THO,UD_JAVA,UD_JAVA,209,3,ph,44,Fall 2020
PF15166,HDI,UD_JAVA,UD,209,1,ph,34,Fall 2019
PF15166,HDI,UD_JAVA,UD_JAVA,209,2,ph,38,Spring 2020
PF15166,HDI,UD_JAVA,UD_JAVA,209,3,ph,43,Summer 2020
PH05679,HDI,UD,UD,143,1,ph,28,Summer 2018
PH05679,HDI,UD,UD,143,2,ph,29,Fall 2018
PH05679,HDI,UD,UD,143,3,ph,30,Spring 2019
PH06685,HDI,UD,UD,141,1,ph,26,Spring 2018
PH06685,HDI,UD,UD,141,2,ph,28,Summer 2018
PH06685,HDI,UD,UD,141,3,ph,29,Fall 2018
PH06687,HDI,MOB,MOB_MOBILE,137,1,ph,26,Spring 2018
PH06687,HDI,MOB,MOB_MOBILE,137,2,ph,28,Summer 2018
PH06687,HDI,MOB,MOB_MOBILE,137,3,ph,29,Fall 2018
