student_code,status,brand_code,code,curriculum_id,semester,campus_code,term_id,term_name
PH34274,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34274,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34274,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34274,TN,PTPM01,PTPM01,253,3,ph,55,Fall 2023
PH34275,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34275,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34275,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34277,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34277,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34277,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34283,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34283,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34283,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34291,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34291,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34291,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34291,THO,LTWE02,LTWE02,251,3,ph,55,Fall 2023
PH34292,HDI,LTMO02,LTMO01,249,1,ph,50,Fall 2022
PH34292,HDI,LTMO02,LTMO01,249,2,ph,51,Spring 2023
PH34292,HDI,LTMO02,LTMO01,249,3,ph,52,Summer 2023
PH34294,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34294,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34294,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34298,HDI,PTPM02,PTPM01,254,1,ph,50,Fall 2022
PH34298,HDI,PTPM02,PTPM02,254,2,ph,51,Spring 2023
PH34298,HDI,PTPM02,PTPM02,254,3,ph,52,Summer 2023
PH34312,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34312,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34312,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34314,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34314,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34314,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34314,THO,LTWE02,LTWE02,251,3,ph,55,Fall 2023
PH34320,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34320,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34320,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34321,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34321,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34321,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34326,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34326,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34326,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34328,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34328,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34328,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34330,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34330,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34330,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34331,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34331,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34331,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34332,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34332,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34332,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34333,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34333,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34333,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34342,HDI,UDPM01,UDPM01,255,1,ph,50,Fall 2022
PH34342,HDI,UDPM01,UDPM01,255,2,ph,51,Spring 2023
PH34342,HDI,UDPM01,UDPM01,255,3,ph,52,Summer 2023
PH34343,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34343,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34343,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34346,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34346,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34346,TN,LTWE01,LTWE02,252,2,ph,52,Summer 2023
PH34346,HDI,LTWE01,LTWE02,252,3,ph,55,Fall 2023
PH34350,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34350,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34350,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34354,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34354,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34354,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34362,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34362,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34362,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34363,HDI,LTMO01,LTMO01,250,1,ph,50,Fall 2022
PH34363,HDI,LTMO01,LTMO01,250,2,ph,51,Spring 2023
PH34363,HDI,LTMO01,LTMO01,250,3,ph,52,Summer 2023
PH34363,THO,LTMO01,LTMO01,250,3,ph,55,Fall 2023
PH34373,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34373,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34373,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34374,HDI,LTMO01,LTMO01,250,1,ph,50,Fall 2022
PH34374,HDI,LTMO01,LTMO01,250,2,ph,51,Spring 2023
PH34374,HDI,LTMO01,LTMO01,250,3,ph,52,Summer 2023
PH34376,HDI,PTPM01,UDPM01,253,1,ph,50,Fall 2022
PH34376,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34376,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34381,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34381,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34381,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34383,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34383,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34383,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34385,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34385,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34385,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34389,HDI,LTMO02,LTMO01,249,1,ph,50,Fall 2022
PH34389,HDI,LTMO02,LTMO01,249,2,ph,51,Spring 2023
PH34389,HDI,LTMO02,LTMO01,249,3,ph,52,Summer 2023
PH34394,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34394,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34394,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34395,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34395,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34395,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34396,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34396,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34396,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34396,THO,LTWE02,LTWE02,251,3,ph,55,Fall 2023
PH34397,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34397,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34397,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34402,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34402,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34402,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34404,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34404,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34404,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34408,HDI,PTPM02,PTPM01,254,1,ph,50,Fall 2022
PH34408,HDI,PTPM02,PTPM02,254,2,ph,51,Spring 2023
PH34408,HDI,PTPM02,PTPM02,254,3,ph,52,Summer 2023
PH34410,HDI,LTWE01,PTPM01,252,1,ph,50,Fall 2022
PH34410,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34410,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34412,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34412,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34412,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34413,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34413,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34413,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34414,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34414,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34414,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34417,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34417,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34417,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34421,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34421,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34421,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34428,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34428,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34428,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34430,HDI,LTMO02,LTMO01,249,1,ph,50,Fall 2022
PH34430,HDI,LTMO02,LTMO01,249,2,ph,51,Spring 2023
PH34430,HDI,LTMO02,LTMO01,249,3,ph,52,Summer 2023
PH34432,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34432,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34432,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34433,HDI,PTPM02,PTPM01,254,1,ph,50,Fall 2022
PH34433,HDI,PTPM02,PTPM02,254,2,ph,51,Spring 2023
PH34433,HDI,PTPM02,PTPM02,254,3,ph,52,Summer 2023
PH34433,THO,PTPM02,PTPM02,254,3,ph,55,Fall 2023
PH34434,HDI,LTMO01,LTMO01,250,1,ph,50,Fall 2022
PH34434,HDI,LTMO01,LTMO01,250,2,ph,51,Spring 2023
PH34434,HDI,LTMO01,LTMO01,250,3,ph,52,Summer 2023
PH34434,THO,LTMO01,LTMO01,250,3,ph,55,Fall 2023
PH34436,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34436,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34436,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34437,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34437,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34437,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34440,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34440,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34440,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34440,TN,LTWE02,LTWE02,251,3,ph,55,Fall 2023
PH34440,THO,LTWE02,LTWE02,251,3,ph,58,Spring 2024
PH34445,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34445,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34445,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34447,HDI,PTPM02,PTPM01,254,1,ph,50,Fall 2022
PH34447,HDI,PTPM02,PTPM02,254,2,ph,51,Spring 2023
PH34447,HDI,PTPM02,PTPM02,254,3,ph,52,Summer 2023
PH34447,TN,PTPM02,PTPM02,254,3,ph,55,Fall 2023
PH34447,TN,PTPM02,PTPM02,254,3,ph,58,Spring 2024
PH34448,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34448,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34448,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34449,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34449,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34449,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34454,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34454,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34454,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34455,HDI,LTMO01,LTMO01,250,1,ph,50,Fall 2022
PH34455,HDI,LTMO01,LTMO01,250,2,ph,51,Spring 2023
PH34455,HDI,LTMO01,LTMO01,250,3,ph,52,Summer 2023
PH34459,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34459,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34459,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34468,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
PH34468,HDI,LTWE02,LTWE02,251,2,ph,51,Spring 2023
PH34468,HDI,LTWE02,LTWE02,251,3,ph,52,Summer 2023
PH34469,HDI,PTPM01,PTPM01,253,1,ph,50,Fall 2022
PH34469,HDI,PTPM01,PTPM01,253,2,ph,51,Spring 2023
PH34469,HDI,PTPM01,PTPM01,253,3,ph,52,Summer 2023
PH34472,HDI,LTWE01,LTWE02,252,1,ph,50,Fall 2022
PH34472,HDI,LTWE01,LTWE02,252,2,ph,51,Spring 2023
PH34472,HDI,LTWE01,LTWE02,252,3,ph,52,Summer 2023
PH34482,HDI,LTWE02,LTWE02,251,1,ph,50,Fall 2022
